A,B,C,D,E,Z
False,False,False,False,False,False
Unknown,True,Unknown,Unknown,Unknown,Unknown
False,True,False,False,True,False
False,Unknown,True,Unknown,Unknown,Unknown
True,True,True,True,Unknown,True
Unknown,False,Unknown,True,Unknown,Unknown
False,True,True,Unknown,Unknown,False
True,False,False,Unknown,True,Unknown
True,True,True,True,False,False
True,Unknown,Unknown,False,Unknown,True
Unknown,Unknown,True,False,True,False
True,Unknown,False,Unknown,Unknown,False
True,True,False,False,True,True
True,True,False,True,False,True
Unknown,True,Unknown,False,True,Unknown
True,True,True,True,Unknown,True
Unknown,False,True,True,Unknown,False
True,True,True,True,True,Unknown
False,True,False,Unknown,False,Unknown
Unknown,False,True,True,False,Unknown
False,True,True,False,True,True
False,False,Unknown,False,False,Unknown
Unknown,False,True,False,Unknown,Unknown
True,True,False,Unknown,False,Unknown
True,True,False,True,Unknown,Unknown
False,True,True,True,True,True
Unknown,False,False,False,Unknown,True
False,True,False,False,True,False
True,True,Unknown,Unknown,True,True
Unknown,True,Unknown,False,True,Unknown
True,False,Unknown,True,Unknown,True
Unknown,True,False,Unknown,True,Unknown
False,True,True,False,False,False
True,True,Unknown,True,True,False
False,True,Unknown,False,True,Unknown
True,False,True,False,False,False
True,True,False,True,Unknown,False
Unknown,Unknown,True,False,False,False
True,False,False,False,True,True
False,Unknown,False,True,Unknown,Unknown
Unknown,False,False,Unknown,True,Unknown
False,False,Unknown,Unknown,True,True
False,True,True,True,True,Unknown
True,True,Unknown,Unknown,False,True
False,False,False,True,Unknown,False
True,False,Unknown,True,False,False
False,Unknown,Unknown,False,True,Unknown
Unknown,False,Unknown,True,False,Unknown
Unknown,True,True,Unknown,True,Unknown
